Location,Period,Birth Rate
Africa,1950-1955,149.7
Africa,2000-2005,110.2
Africa,2050-2055,52.9
Asia,1950-1955,94.8
Asia,2000-2005,39.7
Asia,2050-2055,15.6
Europe,1950-1955,26.8
Europe,2000-2005,19.6
Europe,2050-2055,5.6
Latin America,1950-1955,104.3
Latin America,2000-2005,80.5
Latin America,2050-2055,36.5
Northern America,1950-1955,82.1
Northern America,2000-2005,40.1
Northern America,2050-2055,6.6
Oceania,1950-1955,58
Oceania,2000-2005,33.5
Oceania,2050-2055,18.4
