id,county,state,total population,black american population,percent of total population
48203,Harrison County,Texas,66553,14049,0.211094917
48205,Hartley County,Texas,5576,392,0.070301291
48207,Haskell County,Texas,5658,271,0.047896783
48209,Hays County,Texas,230191,10654,0.046283304
48211,Hemphill County,Texas,3819,32,0.008379157
48213,Henderson County,Texas,82737,5333,0.064457256
48215,Hidalgo County,Texas,868707,7747,0.008917851
48217,Hill County,Texas,36649,2456,0.067014107
48219,Hockley County,Texas,23021,927,0.040267582
48221,Hood County,Texas,61643,709,0.011501711
48223,Hopkins County,Texas,37084,2755,0.074290799
48225,Houston County,Texas,22968,5785,0.25187217
48227,Howard County,Texas,36664,2564,0.069932359
48229,Hudspeth County,Texas,4886,188,0.038477282
48231,Hunt County,Texas,98594,8130,0.082459379
48233,Hutchinson County,Texas,20938,625,0.029850033
48235,Irion County,Texas,1536,19,0.012369792
48237,Jack County,Texas,8935,366,0.040962507
48239,Jackson County,Texas,14760,995,0.067411924
48241,Jasper County,Texas,35529,5693,0.160235301
48243,Jeff Davis County,Texas,2274,30,0.013192612
48245,Jefferson County,Texas,251565,85807,0.341092759
48247,Jim Hogg County,Texas,5200,41,0.007884615
48249,Jim Wells County,Texas,40482,433,0.010696112
48251,Johnson County,Texas,175817,7385,0.042003902
48253,Jones County,Texas,20083,2658,0.132350744
48255,Karnes County,Texas,15601,1423,0.091212102
48257,Kaufman County,Texas,136154,18934,0.13906312
48259,Kendall County,Texas,47431,687,0.014484198
48261,Kenedy County,Texas,404,17,0.042079208
48263,Kent County,Texas,762,9,0.011811024
48265,Kerr County,Texas,52600,1038,0.01973384
48267,Kimble County,Texas,4337,38,0.008761817
48269,King County,Texas,272,0,0
48271,Kinney County,Texas,3667,80,0.021816199
48273,Kleberg County,Texas,30680,1259,0.041036506
48275,Knox County,Texas,3664,214,0.058406114
48277,Lamar County,Texas,49859,6733,0.135040815
48279,Lamb County,Texas,12893,598,0.046381758
48281,Lampasas County,Texas,21428,907,0.042327795
48283,La Salle County,Texas,7520,119,0.015824468
48285,Lavaca County,Texas,20154,1313,0.065148358
48287,Lee County,Texas,17239,1860,0.107894889
48289,Leon County,Texas,17404,1278,0.073431395
48291,Liberty County,Texas,88219,8541,0.096815879
48293,Limestone County,Texas,23437,4098,0.17485173
48295,Lipscomb County,Texas,3233,67,0.020723786
48297,Live Oak County,Texas,12207,584,0.047841402
48299,Llano County,Texas,21795,251,0.011516403
48301,Loving County,Texas,169,6,0.035502959
48303,Lubbock County,Texas,310569,24402,0.078571912
48305,Lynn County,Texas,5951,153,0.025709965
48307,McCulloch County,Texas,7984,232,0.029058116
48309,McLennan County,Texas,256623,38061,0.148314843
48311,McMullen County,Texas,743,18,0.02422611
48313,Madison County,Texas,14284,2870,0.200924111
48315,Marion County,Texas,9854,2055,0.208544753
48317,Martin County,Texas,5771,171,0.029630913
48319,Mason County,Texas,4274,38,0.008890969
48321,Matagorda County,Texas,36643,4124,0.11254537
48323,Maverick County,Texas,58722,418,0.007118286
48325,Medina County,Texas,51584,1604,0.031094913
48327,Menard County,Texas,2138,37,0.017305893
48329,Midland County,Texas,176832,12205,0.069020313
48331,Milam County,Texas,24823,2359,0.095032832
48333,Mills County,Texas,4873,57,0.011697107
48335,Mitchell County,Texas,8545,1023,0.119719134
48337,Montague County,Texas,19818,167,0.008426683
48339,Montgomery County,Texas,607391,35538,0.058509263
48341,Moore County,Texas,20940,885,0.04226361
48343,Morris County,Texas,12388,2756,0.222473361
48345,Motley County,Texas,1200,36,0.03
48347,Nacogdoches County,Texas,65204,11885,0.182274094
48349,Navarro County,Texas,50113,6677,0.13323888
48351,Newton County,Texas,13595,2683,0.197351968
48353,Nolan County,Texas,14714,771,0.052399076
48355,Nueces County,Texas,362294,15469,0.042697367
48357,Ochiltree County,Texas,9836,135,0.013725092
48359,Oldham County,Texas,2112,79,0.037405303
48361,Orange County,Texas,83396,7367,0.08833757
48363,Palo Pinto County,Texas,29189,742,0.025420535
48365,Panola County,Texas,23194,3644,0.157109597
48367,Parker County,Texas,142878,2376,0.016629572
48369,Parmer County,Texas,9605,171,0.017803227
48371,Pecos County,Texas,15823,715,0.045187385
48373,Polk County,Texas,51353,5163,0.100539404
48375,Potter County,Texas,117415,13047,0.111118682
48377,Presidio County,Texas,6704,97,0.014468974
48379,Rains County,Texas,12514,339,0.02708966
48381,Randall County,Texas,137713,4884,0.035465061
48383,Reagan County,Texas,3849,136,0.035333853
48385,Real County,Texas,3452,37,0.010718424
48387,Red River County,Texas,12023,1992,0.165682442
48389,Reeves County,Texas,15976,887,0.055520781
48391,Refugio County,Texas,6948,435,0.062607945
48393,Roberts County,Texas,854,1,0.00117096
48395,Robertson County,Texas,17074,3444,0.201710203
48397,Rockwall County,Texas,104915,7783,0.074183863
48399,Runnels County,Texas,10264,265,0.025818394
48401,Rusk County,Texas,54406,9521,0.174999081
48403,Sabine County,Texas,10542,729,0.069151964
48405,San Augustine County,Texas,8237,1754,0.212941605
48407,San Jacinto County,Texas,28859,2738,0.094875082
48409,San Patricio County,Texas,66730,1388,0.02080024
48411,San Saba County,Texas,6055,242,0.039966969
48413,Schleicher County,Texas,2793,50,0.017901898
48415,Scurry County,Texas,16703,915,0.054780578
48417,Shackelford County,Texas,3265,60,0.018376723
48419,Shelby County,Texas,25274,4491,0.17769249
48421,Sherman County,Texas,3022,57,0.018861681
48423,Smith County,Texas,232751,41446,0.178070126
48425,Somervell County,Texas,9128,116,0.012708151
48427,Starr County,Texas,64633,262,0.004053657
48429,Stephens County,Texas,9366,280,0.029895366
48431,Sterling County,Texas,1291,27,0.02091402
48433,Stonewall County,Texas,1350,45,0.033333333
48435,Sutton County,Texas,3776,36,0.009533898
48437,Swisher County,Texas,7397,638,0.086251183
48439,Tarrant County,Texas,2102515,375552,0.178620367
48441,Taylor County,Texas,138034,11546,0.083646058
48443,Terrell County,Texas,776,13,0.016752577
48445,Terry County,Texas,12337,580,0.04701305
48447,Throckmorton County,Texas,1501,14,0.009327115
48449,Titus County,Texas,32750,3246,0.099114504
48451,Tom Green County,Texas,119200,5216,0.043758389
48453,Travis County,Texas,1273954,113258,0.088902739
48455,Trinity County,Texas,14651,1311,0.089481947
48457,Tyler County,Texas,21672,2428,0.112033961
48459,Upshur County,Texas,41753,3310,0.079275741
48461,Upton County,Texas,3657,125,0.034181023
48463,Uvalde County,Texas,26741,343,0.012826745
48465,Val Verde County,Texas,49025,1024,0.020887302
48467,Van Zandt County,Texas,56590,1657,0.029280792
48469,Victoria County,Texas,92084,6047,0.065668303
48471,Walker County,Texas,72971,17206,0.235792301
48473,Waller County,Texas,55246,13507,0.244488289
48475,Ward County,Texas,11998,635,0.052925488
48477,Washington County,Texas,35882,6325,0.176272226
48479,Webb County,Texas,276652,2033,0.007348582
48481,Wharton County,Texas,41556,5646,0.135864857
48483,Wheeler County,Texas,5056,157,0.031052215
48485,Wichita County,Texas,132230,14679,0.111011117
48487,Wilbarger County,Texas,12769,1051,0.082308716
48489,Willacy County,Texas,21358,584,0.027343384
48491,Williamson County,Texas,590551,43546,0.073737916
48493,Wilson County,Texas,51070,954,0.018680243
48495,Winkler County,Texas,8010,274,0.034207241
48497,Wise County,Texas,69984,1112,0.015889346
48499,Wood County,Texas,45539,2530,0.055556776
48501,Yoakum County,Texas,8713,133,0.015264547
48503,Young County,Texas,18010,307,0.017046086
48505,Zapata County,Texas,14179,78,0.005501093
48507,Zavala County,Texas,11840,152,0.012837838
49001,Beaver County,Utah,6710,24,0.003576751
49003,Box Elder County,Utah,56046,330,0.005888021
49005,Cache County,Utah,128289,1383,0.010780347
49007,Carbon County,Utah,20463,126,0.006157455
49009,Daggett County,Utah,950,2,0.002105263
49011,Davis County,Utah,355481,5092,0.014324254
49013,Duchesne County,Utah,19938,108,0.005416792
49015,Emery County,Utah,10012,45,0.004494606
49017,Garfield County,Utah,5051,29,0.005741437
49019,Grand County,Utah,9754,89,0.009124462
49021,Iron County,Utah,54839,392,0.007148197
49023,Juab County,Utah,12017,71,0.005908297
49025,Kane County,Utah,7886,61,0.007735227
49027,Millard County,Utah,13188,75,0.005686988
49029,Morgan County,Utah,12124,57,0.004701419
49031,Piute County,Utah,1479,4,0.00270453
49033,Rich County,Utah,2483,9,0.003624648
49035,Salt Lake County,Utah,1160437,25988,0.022395012
49037,San Juan County,Utah,15308,64,0.00418082
49039,Sanpete County,Utah,30939,356,0.011506513
49041,Sevier County,Utah,21620,123,0.005689177
49043,Summit County,Utah,42145,501,0.011887531
49045,Tooele County,Utah,72259,645,0.008926224
49047,Uintah County,Utah,35734,240,0.006716293
49049,Utah County,Utah,636235,5263,0.008272101
49051,Wasatch County,Utah,34091,281,0.008242645
49053,Washington County,Utah,177556,1631,0.009185834
49055,Wayne County,Utah,2711,13,0.004795278
49057,Weber County,Utah,260213,4535,0.01742803
50001,Addison County,Vermont,36777,490,0.013323545
50003,Bennington County,Vermont,35470,484,0.013645334
50005,Caledonia County,Vermont,29993,267,0.008902077
50007,Chittenden County,Vermont,163774,4176,0.025498553
50009,Essex County,Vermont,6163,37,0.00600357
50011,Franklin County,Vermont,49402,370,0.007489575
50013,Grand Isle County,Vermont,7235,65,0.008984105
50015,Lamoille County,Vermont,25362,298,0.011749862
50017,Orange County,Vermont,28892,195,0.006749273
50019,Orleans County,Vermont,27037,227,0.008395902
50021,Rutland County,Vermont,58191,419,0.007200426
50023,Washington County,Vermont,58409,548,0.009382116
50025,Windham County,Vermont,42222,648,0.015347449
50027,Windsor County,Vermont,55062,550,0.00998874
51001,Accomack County,Virginia,32316,9304,0.287906919
51003,Albemarle County,Virginia,109330,10600,0.096954175
51005,Alleghany County,Virginia,14860,698,0.046971736
51007,Amelia County,Virginia,13145,2688,0.204488399
51009,Amherst County,Virginia,31605,6041,0.191140642
51011,Appomattox County,Virginia,15911,2951,0.185469172
51013,Arlington County,Virginia,236842,22922,0.096781821
51015,Augusta County,Virginia,75558,3518,0.046560258
51017,Bath County,Virginia,4147,201,0.048468773
51019,Bedford County,Virginia,78997,5697,0.072116663
51021,Bland County,Virginia,6280,250,0.039808917
51023,Botetourt County,Virginia,33419,1093,0.032705946
51025,Brunswick County,Virginia,16231,8890,0.547717331
51027,Buchanan County,Virginia,21004,710,0.033803085
51029,Buckingham County,Virginia,17148,5783,0.337240495
51031,Campbell County,Virginia,54885,8123,0.148000364
51033,Caroline County,Virginia,30725,8349,0.271733116
51035,Carroll County,Virginia,29791,263,0.00882817
51036,Charles City County,Virginia,6963,3093,0.444205084
51037,Charlotte County,Virginia,11880,3281,0.276178451
51041,Chesterfield County,Virginia,352802,86561,0.245352918
51043,Clarke County,Virginia,14619,681,0.046583214
51045,Craig County,Virginia,5131,23,0.004482557
51047,Culpeper County,Virginia,52605,7672,0.14584165
51049,Cumberland County,Virginia,9932,3029,0.304973822
51051,Dickenson County,Virginia,14318,76,0.005308004
51053,Dinwiddie County,Virginia,28544,9196,0.322169283
51057,Essex County,Virginia,10953,4100,0.374326668
51059,Fairfax County,Virginia,1147532,121954,0.106275032
51061,Fauquier County,Virginia,71222,5574,0.078262335
51063,Floyd County,Virginia,15749,319,0.020255254
51065,Fluvanna County,Virginia,27270,4160,0.152548588
51067,Franklin County,Virginia,56042,4430,0.079047857
51069,Frederick County,Virginia,89313,4225,0.047305543
51071,Giles County,Virginia,16720,267,0.0159689
51073,Gloucester County,Virginia,37348,2983,0.079870408
51075,Goochland County,Virginia,23753,3743,0.157580095
51077,Grayson County,Virginia,15550,893,0.057427653
51079,Greene County,Virginia,19819,1450,0.073162117
51081,Greensville County,Virginia,11336,6823,0.601887791
51083,Halifax County,Virginia,33911,12305,0.362861608
51085,Hanover County,Virginia,107766,10264,0.095243398
51087,Henrico County,Virginia,330818,102135,0.308734712
51089,Henry County,Virginia,50557,11434,0.226160571
51091,Highland County,Virginia,2190,24,0.010958904
51093,Isle of Wight County,Virginia,37109,8617,0.23220782
51095,James City County,Virginia,76523,10433,0.136338094
51097,King and Queen County,Virginia,7025,1840,0.261921708
51099,King George County,Virginia,26836,4311,0.160642421
51101,King William County,Virginia,17148,2645,0.154245393
51103,Lancaster County,Virginia,10603,3011,0.283976233
51105,Lee County,Virginia,23423,872,0.037228365
51107,Loudoun County,Virginia,413538,33465,0.080923639
51109,Louisa County,Virginia,37591,5846,0.155515948
51111,Lunenburg County,Virginia,12196,4130,0.338635618
51113,Madison County,Virginia,13261,1229,0.092677777
51115,Mathews County,Virginia,8834,747,0.084559656
51117,Mecklenburg County,Virginia,30587,10570,0.345571648
51119,Middlesex County,Virginia,10582,1759,0.166225666
51121,Montgomery County,Virginia,98535,4238,0.043010098
51125,Nelson County,Virginia,14930,1701,0.113931681
51127,New Kent County,Virginia,23091,3200,0.138582132
51131,Northampton County,Virginia,11710,3952,0.337489325
51133,Northumberland County,Virginia,12095,3022,0.249855312
51135,Nottoway County,Virginia,15232,5990,0.39325105
51137,Orange County,Virginia,37051,4912,0.13257402
51139,Page County,Virginia,23902,532,0.022257552
51141,Patrick County,Virginia,17608,927,0.052646524
51143,Pittsylvania County,Virginia,60354,12970,0.214898764
51145,Powhatan County,Virginia,29652,2726,0.091933091
51147,Prince Edward County,Virginia,22802,7488,0.328392246
51149,Prince George County,Virginia,38353,12510,0.326180481
51153,Prince William County,Virginia,470335,104512,0.222207575
51155,Pulaski County,Virginia,34027,1718,0.050489317
51157,Rappahannock County,Virginia,7370,309,0.04192673
51159,Richmond County,Virginia,9023,2675,0.29646459
51161,Roanoke County,Virginia,94186,6032,0.064043488
51163,Rockbridge County,Virginia,22573,746,0.033048332
51165,Rockingham County,Virginia,81948,2082,0.025406355
51167,Russell County,Virginia,26586,285,0.010719928
51169,Scott County,Virginia,21566,197,0.009134749
51171,Shenandoah County,Virginia,43616,1269,0.029094828
51173,Smyth County,Virginia,30104,748,0.024847196
51175,Southampton County,Virginia,17631,6125,0.347399467
51177,Spotsylvania County,Virginia,136215,23797,0.174701758
51179,Stafford County,Virginia,152882,30586,0.200062794
51181,Surry County,Virginia,6422,2668,0.415446901
51183,Sussex County,Virginia,11159,6263,0.561251008
51185,Tazewell County,Virginia,40595,1310,0.032269984
51187,Warren County,Virginia,40164,1993,0.049621552
51191,Washington County,Virginia,53740,816,0.01518422
51193,Westmoreland County,Virginia,18015,4704,0.261115737
51195,Wise County,Virginia,37383,2162,0.057833775
51197,Wythe County,Virginia,28684,853,0.029737833
51199,York County,Virginia,68280,9442,0.138283538
51510,Alexandria city,Virginia,159428,36290,0.227626264
51520,Bristol city,Virginia,16762,1051,0.062701348
51530,Buena Vista city,Virginia,6478,334,0.051559123
51540,Charlottesville city,Virginia,47266,8693,0.183916557
51550,Chesapeake city,Virginia,244835,74950,0.306124533
51570,Colonial Heights city,Virginia,17370,2900,0.166954519
51580,Covington city,Virginia,5538,761,0.137414229
51590,Danville city,Virginia,40044,20633,0.515258216
51595,Emporia city,Virginia,5346,3485,0.651889263
51600,Fairfax city,Virginia,24019,1522,0.063366502
51610,Falls Church city,Virginia,14617,708,0.048436752
51620,Franklin city,Virginia,7967,4580,0.574871344
51630,Fredericksburg city,Virginia,29036,7003,0.241183359
51640,Galax city,Virginia,6347,444,0.069954309
51650,Hampton city,Virginia,134510,68976,0.512794588
51660,Harrisonburg city,Virginia,53016,4719,0.089010865
51670,Hopewell city,Virginia,22529,9796,0.434817347
51678,Lexington city,Virginia,7446,640,0.085952189
51680,Lynchburg city,Virginia,82168,23046,0.280474151
51683,Manassas city,Virginia,41085,6327,0.153997809
51685,Manassas Park city,Virginia,17478,2730,0.156196361
51690,Martinsville city,Virginia,12554,5957,0.474510116
51700,Newport News city,Virginia,179225,76738,0.428165713
51710,Norfolk city,Virginia,242742,102172,0.420907795
51720,Norton city,Virginia,3981,235,0.059030394
51730,Petersburg city,Virginia,31346,24128,0.769731385
51735,Poquoson city,Virginia,12271,151,0.012305436
51740,Portsmouth city,Virginia,94398,51441,0.544937393
51750,Radford city,Virginia,18249,1702,0.093265384
51760,Richmond city,Virginia,230436,108057,0.468924126
51770,Roanoke city,Virginia,99143,29205,0.294574503
51775,Salem city,Virginia,25301,1965,0.077664914
51790,Staunton city,Virginia,24932,2849,0.114270817
51800,Suffolk city,Virginia,92108,39246,0.426086768
51810,Virginia Beach city,Virginia,449974,91161,0.202591705
51820,Waynesboro city,Virginia,22630,3040,0.134334954
51830,Williamsburg city,Virginia,14954,2391,0.15989033
51840,Winchester city,Virginia,28078,3174,0.113042239
53001,Adams County,Washington,19983,437,0.021868588
53003,Asotin County,Washington,22582,178,0.007882384
53005,Benton County,Washington,204390,3705,0.01812711
53007,Chelan County,Washington,77200,692,0.008963731
