ID,State,State Abbreviation,Latitude,Longitude,HxPosition,HyPosition,SxPosition,SyPosition,Soil Name,Level Number,Level Name,Start Depth (cm),End Depth (cm),Munsell,RGB
9,Connecticut,CT,41.599998,-72.699997,10.5,2.5,10,4,Windsor,1,Oe,0,3,10YR 2/1,"rgb(54, 48, 41)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,2,A,3,8,10YR 3/2,"rgb(85, 70, 54)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,3,Bw1,8,23,7.5YR 5/6,"rgb(163, 113, 63)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,4,Bw2,23,53,10YR 5/6,"rgb(157, 115, 55)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,5,Bw3,53,64,10YR 6/4,"rgb(174, 144, 104)"
9,Connecticut,,41.599998,-72.699997,10.5,2.5,10,4,Windsor,6,C,64,165,10YR 6/3,"rgb(167, 144, 114)"
10,Delaware,DE,39,-75.5,9,2,10,3,Greenwich,1,Ap,0,25,10YR 5/3,"rgb(141, 118, 90)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,2,Bt1,25,41,10YR 5/6,"rgb(157, 115, 55)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,3,Bt2,41,56,7.5YR 4/6,"rgb(134, 87, 40)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,4,2bt3,56,64,7.5YR 4/6,"rgb(134, 87, 40)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,5,2bt4,64,74,7.5YR 3/4,"rgb(98, 66, 38)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,6,2CB,74,99,10YR 4/6,"rgb(129, 90, 33)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,7,2C1,99,117,10YR 5/4,"rgb(148, 118, 79)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,8,2C2,117,140,10YR 5/6,"rgb(157, 115, 55)"
10,Delaware,,39,-75.5,9,2,10,3,Greenwich,9,2C3,140,183,10YR 5/8,"rgb(164, 113, 27)"
12,Florida,FL,27.994402,-81.760254,8,0,9,0,Myakka,1,A,0,15.24,10YR 2/1,"rgb(54, 48, 41)"
12,Florida,,27.994402,-81.760254,8,0,9,0,Myakka,2,E,15.24,50.8,10YR 8/2,"rgb(216, 200, 177)"
12,Florida,,27.994402,-81.760254,8,0,9,0,Myakka,3,Bh1,50.8,60.96,5YR 2/1,"rgb(56, 47, 42)"
12,Florida,,27.994402,-81.760254,8,0,9,0,Myakka,4,Bh2,60.96,81.28,5YR 2/2,"rgb(64, 45, 37)"
12,Florida,,27.994402,-81.760254,8,0,9,0,Myakka,5,Bh3,81.28,91.44,5YR 2/2,"rgb(64, 45, 37)"
12,Florida,,27.994402,-81.760254,8,0,9,0,Myakka,6,C/B,91.44,142.24,7.5YR 4/4,"rgb(126, 90, 59)"
12,Florida,,27.994402,-81.760254,8,0,9,0,Myakka,7,C,142.24,215.9,10YR 4/2,"rgb(111, 95, 76)"
