Year,Revenue
2010,28.446616124
2011,29.662751104
2012,32.116731783
2013,31.839694765
2014,33.496997745
2015,36.511127591
2016,36.241897178
2017,38.170427027
2018,38.304647928
2019,38.802517863
2020,7.934742678
2021,18.668370715
